ID,Dream Weight,Actual Weight,Age,Gender,BMI
1,91.89253067,96.30111546,45,Male,29.42627467
2,64.16509681,61.1046681,25,Male,21.28634599
3,70.84622352,71.76672384,20,Male,27.8995916
4,79.47700756,82.98445557,33,Male,33.72955245
5,89.96022608,85.64317443,29,Female,23.28611341
6,78.88757763,80.59659152,60,Female,34.71933604
7,65.68112526,61.81538551,18,Male,34.59464132
8,64.92956278,62.80648911,42,Male,22.05010343
9,52.73106505,54.53768847,49,Male,30.94884687
10,95.164097,97.43683277,41,Male,31.22404465
11,56.8297759,54.14440184,41,Male,34.01756731
12,95.19628309,97.36896072,35,Female,34.56511678
13,83.67915156,84.42865874,54,Female,34.52263692
14,59.42012239,60.02686967,41,Male,28.9313826
15,65.27981192,61.25935824,19,Male,26.34012389
16,89.07299305,86.46496723,54,Male,28.9570926
17,84.63807523,88.31452671,38,Female,33.67888188
18,79.64940102,84.14403879,42,Male,23.89336292
19,70.2601051,70.75616296,40,Female,33.2386129
20,88.75086513,84.43614261,49,Male,20.44761953
21,84.92312857,80.99303296,38,Male,24.8895933
22,54.97493556,52.29681481,29,Male,20.54155838
23,70.6800884,69.65255976,54,Female,30.59981568
24,58.10413954,54.69985051,30,Male,33.35999724
25,60.08372848,59.86013459,45,Female,18.74376699
26,75.58965322,72.0983609,24,Male,31.57504828
27,79.36560717,81.68863135,56,Male,20.0330802
28,93.80578537,98.57062426,54,Male,18.94809579
29,76.76067757,78.70795184,21,Male,21.339318
30,50.81220347,49.31561328,55,Female,29.23556137
31,87.03452476,86.24767046,47,Male,22.17566114
32,82.72059543,86.45526301,24,Male,24.37234879
33,87.93811297,90.68068215,57,Female,30.42326681
34,80.10790122,77.83226162,30,Female,24.94641272
35,75.61763231,78.03340967,52,Female,26.27883251
36,96.88634887,95.66982226,20,Male,24.83308985
37,54.24162087,54.53063568,37,Male,34.36954017
38,96.92153758,96.08917838,47,Female,28.17738168
39,76.44365295,79.82720402,28,Female,21.77174362
40,99.79883357,99.0966335,57,Female,32.25019059
41,98.84875202,100.8967673,41,Female,27.39231586
42,90.00990748,85.40862776,19,Male,22.21856755
43,53.20619588,51.17641475,32,Female,19.43018046
44,60.46042111,58.06911618,55,Male,31.76605422
45,67.72806592,70.58058256,39,Female,30.65263465
46,78.55073371,76.65819193,32,Female,23.04409145
47,76.97485323,75.47957349,58,Male,26.22608119
48,62.04763518,66.54716531,40,Male,20.05025199
49,86.6758351,82.55090155,48,Female,25.8040189
50,84.14863746,88.76687023,36,Male,29.99401277
51,82.43364998,77.79195722,35,Male,20.10679707
52,57.90317356,56.59718028,28,Male,24.51337316
